date,restaurant_id,day_of_week,is_weekend,is_holiday,holiday_name,is_school_vacations,vacation_name,tmax,tmin,prcp,wspd,weather_code,sip,affluence,occupancy_rate,is_full
2024-01-01,1,monday,0,0,None,0,None,8.6,3.7,1.0,18.1,53,0.1,18,18.0,0
2024-01-02,1,tuesday,0,0,None,0,None,10.3,6.0,11.6,22.9,61,0.1,19,19.0,0
2024-01-03,1,wednesday,0,0,None,0,None,11.2,7.8,3.2,29.0,55,0.2,21,21.0,0
2024-01-04,1,thursday,0,0,None,0,None,10.6,4.4,0.1,27.7,51,0.3,23,23.0,0
2024-01-05,1,friday,0,0,None,0,None,8.9,2.7,0.1,8.7,51,0.4,31,31.0,0
2024-01-06,1,saturday,1,0,None,0,None,6.1,1.5,0.8,17.8,71,0.5,20,20.0,0
2024-01-07,1,sunday,1,0,None,0,None,3.6,1.5,0.3,22.8,51,0.2,26,26.0,0
2024-01-08,1,monday,0,0,None,0,None,1.4,-2.8,1.0,24.7,71,0.1,18,18.0,0
2024-01-09,1,tuesday,0,0,None,0,None,-0.8,-2.7,0.8,14.0,73,0.1,15,15.0,0
2024-01-10,1,wednesday,0,0,None,0,None,1.0,-4.6,0.7,20.6,71,0.2,20,20.0,0
2024-01-11,1,thursday,0,0,None,0,None,2.9,-2.2,0.0,21.7,3,0.3,21,21.0,0
2024-01-12,1,friday,0,0,None,0,None,3.5,-3.7,0.0,20.4,2,0.4,21,21.0,0
2024-01-13,1,saturday,1,0,None,0,None,-2.8,-5.4,0.0,14.1,3,0.5,24,24.0,0
2024-01-14,1,sunday,1,0,None,0,None,0.1,-5.8,0.1,6.1,51,0.2,22,22.0,0
2024-01-15,1,monday,0,0,None,0,None,3.9,-4.8,0.0,12.2,3,0.1,11,11.0,0
2024-01-16,1,tuesday,0,0,None,0,None,2.0,-5.5,0.5,7.8,51,0.1,19,19.0,0
2024-01-17,1,wednesday,0,0,None,0,None,8.2,-1.5,14.2,17.9,61,0.2,15,15.0,0
2024-01-18,1,thursday,0,0,None,0,None,9.3,-1.0,11.2,21.3,73,0.3,21,21.0,0
2024-01-19,1,friday,0,0,None,0,None,0.3,-3.4,0.0,21.3,3,0.4,24,24.0,0
2024-01-20,1,saturday,1,0,None,0,None,2.4,-5.8,0.0,21.5,2,0.5,25,25.0,0
2024-01-21,1,sunday,1,0,None,0,None,5.7,-5.7,0.0,12.8,3,0.2,20,20.0,0
