date,restaurant_id,day_of_week,is_weekend,is_holiday,holiday_name,is_school_vacations,vacation_name,tmax,tmin,prcp,wspd,weather_code,sip,affluence,occupancy_rate,is_full
2024-01-01,1,monday,0,0,None,0,None,12.3,6.3,0.0,25.0,3,0.1,56,29.5,0
2024-01-02,1,tuesday,0,0,None,0,None,13.6,5.1,0.0,18.7,3,0.1,82,43.2,0
2024-01-03,1,wednesday,0,0,None,0,None,13.4,8.9,0.0,26.1,3,0.2,88,46.3,0
2024-01-04,1,thursday,0,0,None,0,None,14.3,8.9,0.0,26.0,3,0.3,90,47.4,0
2024-01-05,1,friday,0,0,None,0,None,13.5,7.4,17.8,21.9,63,0.4,111,58.4,0
2024-01-06,1,saturday,1,0,None,0,None,9.4,6.1,0.0,48.9,3,0.605,133,70.0,0
2024-01-07,1,sunday,1,0,None,0,None,7.8,5.1,0.0,47.8,3,0.305,80,42.1,0
2024-01-08,1,monday,0,0,None,0,None,5.7,0.8,0.0,32.9,3,0.1,57,30.0,0
2024-01-09,1,tuesday,0,0,None,0,None,8.1,0.7,0.4,20.6,51,0.1,66,34.7,0
2024-01-10,1,wednesday,0,0,None,0,None,9.9,5.1,10.5,29.3,61,0.2,72,37.9,0
2024-01-11,1,thursday,0,0,None,0,None,9.8,4.2,8.0,26.3,55,0.3,76,40.0,0
2024-01-12,1,friday,0,0,None,0,None,7.1,0.1,0.0,19.3,3,0.4,105,55.3,0
2024-01-13,1,saturday,1,0,None,0,None,10.6,0.7,0.0,10.1,3,0.5,146,76.8,0
2024-01-14,1,sunday,1,0,None,0,None,7.6,1.2,0.0,14.2,3,0.2,92,48.4,0
2024-01-15,1,monday,0,0,None,0,None,12.6,4.8,0.0,20.0,3,0.1,73,38.4,0
2024-01-16,1,tuesday,0,0,None,0,None,11.1,5.9,0.2,21.6,51,0.1,74,38.9,0
2024-01-17,1,wednesday,0,0,None,0,None,14.8,8.1,4.9,32.4,63,0.2,88,46.3,0
2024-01-18,1,thursday,0,0,None,0,None,15.9,8.5,0.0,17.7,3,0.3,86,45.3,0
2024-01-19,1,friday,0,0,None,0,None,12.2,2.0,0.0,34.0,3,0.4,145,76.3,0
2024-01-20,1,saturday,1,0,None,0,None,6.6,1.4,0.0,13.6,3,0.5,135,71.1,0
2024-01-21,1,sunday,1,0,None,0,None,11.2,1.5,0.0,13.1,3,0.2,114,60.0,0
2024-01-22,1,monday,0,0,None,0,None,13.1,4.3,0.2,15.3,51,0.1,75,39.5,0
2024-01-23,1,tuesday,0,0,None,0,None,14.5,8.0,0.0,35.8,3,0.25,61,32.1,0
2024-01-24,1,wednesday,0,0,None,0,None,17.2,9.6,0.0,31.7,3,0.2,87,45.8,0
2024-01-25,1,thursday,0,0,None,0,None,17.2,10.4,0.0,30.5,0,0.44999999999999996,97,51.1,0
2024-01-26,1,friday,0,0,None,0,None,17.4,10.9,0.0,31.8,3,0.4,97,51.1,0
2024-01-27,1,saturday,1,0,None,0,None,15.4,7.8,0.0,29.0,3,0.5,126,66.3,0
2024-01-28,1,sunday,1,0,None,0,None,16.4,6.1,0.0,22.7,3,0.2,118,62.1,0
2024-01-29,1,monday,0,0,None,0,None,14.7,8.4,0.0,19.7,3,0.1,64,33.7,0
2024-01-30,1,tuesday,0,0,None,0,None,13.3,5.6,0.0,7.3,3,0.1,83,43.7,0
2024-01-31,1,wednesday,0,0,None,0,None,13.1,5.7,0.0,11.7,3,0.2,97,51.1,0
2024-02-01,1,thursday,0,0,None,0,None,14.9,6.1,0.0,40.5,3,0.3,86,45.3,0
2024-02-02,1,friday,0,0,None,0,None,17.3,5.8,0.0,17.8,3,0.4,82,43.2,0
2024-02-03,1,saturday,1,0,None,0,None,15.1,5.6,0.0,20.3,3,0.65,156,82.1,0
2024-02-04,1,sunday,1,0,None,0,None,14.9,6.3,0.0,21.6,3,0.2,107,56.3,0
2024-02-05,1,monday,0,0,None,0,None,16.2,5.0,0.0,18.5,3,0.1,72,37.9,0
2024-02-06,1,tuesday,0,0,None,0,None,13.3,6.5,0.0,9.7,3,0.1,69,36.3,0
2024-02-07,1,wednesday,0,0,None,0,None,14.8,3.8,0.0,21.8,3,0.2,86,45.3,0
2024-02-08,1,thursday,0,0,None,0,None,15.3,7.7,0.0,29.6,3,0.3,71,37.4,0
2024-02-09,1,friday,0,0,None,0,None,14.1,11.8,11.8,33.8,63,0.4,110,57.9,0
2024-02-10,1,saturday,1,0,None,0,None,13.2,8.5,24.1,36.0,63,0.5,82,43.2,0
2024-02-11,1,sunday,1,0,None,0,None,13.4,7.6,0.0,37.2,3,0.2,77,40.5,0
2024-02-12,1,monday,0,0,None,0,None,11.4,5.4,1.8,24.5,61,0.1,60,31.6,0
2024-02-13,1,tuesday,0,0,None,0,None,14.8,5.9,0.0,25.8,3,0.25,78,41.1,0
2024-02-14,1,wednesday,0,0,None,0,None,15.4,6.1,0.0,11.2,3,0.2,97,51.1,0
2024-02-15,1,thursday,0,0,None,0,None,14.9,9.2,0.2,23.8,51,0.3,73,38.4,0
2024-02-16,1,friday,0,0,None,0,None,15.6,7.8,0.0,16.6,3,0.4,120,63.2,0
2024-02-17,1,saturday,1,0,None,0,None,17.1,6.3,0.0,19.1,3,0.5,116,61.1,0
2024-02-18,1,sunday,1,0,None,0,None,16.4,6.5,0.0,24.0,3,0.2,94,49.5,0
2024-02-19,1,monday,0,0,None,0,None,16.8,10.9,0.0,41.1,3,0.1,63,33.2,0
2024-02-20,1,tuesday,0,0,None,0,None,16.6,7.1,0.0,39.2,3,0.1,68,35.8,0
2024-02-21,1,wednesday,0,0,None,0,None,13.2,7.2,0.0,17.3,3,0.2,91,47.9,0
2024-02-22,1,thursday,0,0,None,0,None,13.5,12.2,6.7,34.4,63,0.3,74,38.9,0
2024-02-23,1,friday,0,0,None,0,None,11.8,7.6,0.3,35.5,51,0.4,104,54.7,0
2024-02-24,1,saturday,1,0,None,0,None,12.1,3.8,5.2,15.2,73,0.5,97,51.1,0
2024-02-25,1,sunday,1,0,None,0,None,13.3,2.8,7.7,31.8,61,0.2,89,46.8,0
2024-02-26,1,monday,0,0,None,0,None,13.6,9.9,16.9,19.7,63,0.1,64,33.7,0
2024-02-27,1,tuesday,0,0,None,0,None,13.4,7.3,4.2,20.5,61,0.25,69,36.3,0
2024-02-28,1,wednesday,0,0,None,0,None,14.2,7.3,0.8,25.0,53,0.2,81,42.6,0
2024-02-29,1,thursday,0,0,None,0,None,15.8,5.1,0.0,15.7,3,0.3,80,42.1,0
2024-03-01,1,friday,0,0,None,0,None,14.3,8.3,0.0,39.7,3,0.4,144,75.8,0
2024-03-02,1,saturday,1,0,None,0,None,14.5,6.6,3.8,35.4,55,0.5,139,73.2,0
2024-03-03,1,sunday,1,0,None,0,None,12.6,6.2,24.3,35.7,63,0.2,76,40.0,0
2024-03-04,1,monday,0,0,None,0,None,13.1,5.9,0.3,35.0,51,0.1,64,33.7,0
2024-03-05,1,tuesday,0,0,None,0,None,13.7,7.2,0.1,33.7,51,0.1,70,36.8,0
2024-03-06,1,wednesday,0,0,None,0,None,12.6,5.9,0.0,34.1,3,0.2,101,53.2,0
2024-03-07,1,thursday,0,0,None,0,None,13.1,1.9,0.0,15.5,3,0.3,89,46.8,0
2024-03-08,1,friday,0,0,None,0,None,11.9,8.9,11.2,47.2,63,0.4,108,56.8,0
2024-03-09,1,saturday,1,0,None,0,None,13.0,9.4,22.1,49.4,63,0.5,107,56.3,0
2024-03-10,1,sunday,1,0,None,0,None,12.9,9.2,20.0,43.6,63,0.2,93,48.9,0
2024-03-11,1,monday,0,0,None,0,None,13.1,5.8,2.3,27.0,55,0.1,60,31.6,0
2024-03-12,1,tuesday,0,0,None,0,None,14.6,8.8,0.0,35.6,3,0.1,69,36.3,0
2024-03-13,1,wednesday,0,0,None,0,None,16.1,6.3,0.0,25.8,3,0.2,79,41.6,0
2024-03-14,1,thursday,0,0,None,0,None,14.4,5.8,0.0,15.0,3,0.44999999999999996,78,41.1,0
2024-03-15,1,friday,0,0,None,0,None,15.3,8.1,0.0,14.6,3,0.4,120,63.2,0
2024-03-16,1,saturday,1,0,None,0,None,18.5,9.9,0.0,28.5,3,0.5,121,63.7,0
2024-03-17,1,sunday,1,0,None,0,None,15.8,8.5,0.0,16.6,3,0.2,84,44.2,0
2024-03-18,1,monday,0,0,None,0,None,20.1,9.4,0.0,23.0,3,0.1,76,40.0,0
2024-03-19,1,tuesday,0,0,None,0,None,16.6,9.1,0.0,19.2,3,0.25,72,37.9,0
2024-03-20,1,wednesday,0,0,None,0,None,16.9,8.6,0.0,22.7,3,0.2,80,42.1,0
2024-03-21,1,thursday,0,0,None,0,None,18.0,7.8,0.0,24.8,3,0.3,78,41.1,0
2024-03-22,1,friday,0,0,None,0,None,18.2,9.9,0.0,23.5,3,0.4,126,66.3,0
2024-03-23,1,saturday,1,0,None,0,None,18.5,8.9,0.0,32.2,3,0.5,114,60.0,0
2024-03-24,1,sunday,1,0,None,0,None,14.4,9.5,0.0,36.6,3,0.2,91,47.9,0
2024-03-25,1,monday,0,0,None,0,None,15.9,5.8,1.9,37.2,53,0.1,64,33.7,0
2024-03-26,1,tuesday,0,0,None,0,None,14.8,11.1,6.8,44.2,63,0.1,61,32.1,0
2024-03-27,1,wednesday,0,0,None,0,None,12.1,8.4,13.0,30.1,63,0.2,91,47.9,0
2024-03-28,1,thursday,0,0,None,0,None,15.2,12.1,2.9,32.0,61,0.3,90,47.4,0
2024-03-29,1,friday,0,0,None,0,None,17.8,13.2,0.0,39.2,3,0.4,132,69.5,0
2024-03-30,1,saturday,1,0,None,0,None,17.4,12.9,10.5,39.0,63,0.5,131,68.9,0
2024-03-31,1,sunday,1,0,None,0,None,15.6,12.1,36.9,43.6,63,0.2,105,55.3,0
2024-04-01,1,monday,0,0,None,0,None,14.1,9.0,1.6,35.1,53,0.1,63,33.2,0
2024-04-02,1,tuesday,0,0,None,0,None,16.1,8.9,0.0,22.0,3,0.1,73,38.4,0
2024-04-03,1,wednesday,0,0,None,0,None,18.1,11.6,0.0,19.0,3,0.2,74,38.9,0
2024-04-04,1,thursday,0,0,None,0,None,17.6,9.7,0.0,15.6,3,0.44999999999999996,80,42.1,0
2024-04-05,1,friday,0,0,None,0,None,17.9,13.1,0.0,26.6,3,0.4,146,76.8,0
2024-04-06,1,saturday,1,0,None,0,None,19.8,13.4,0.0,23.7,3,0.5,111,58.4,0
2024-04-07,1,sunday,1,0,None,0,None,20.9,15.9,0.0,26.3,3,0.2,119,62.6,0
2024-04-08,1,monday,0,0,None,0,None,23.4,16.3,0.9,43.0,53,0.1,59,31.1,0
2024-04-09,1,tuesday,0,0,None,0,None,16.7,11.4,2.8,41.5,53,0.1,78,41.1,0
2024-04-10,1,wednesday,0,0,None,0,None,15.9,9.5,0.0,53.4,1,0.2,84,44.2,0
2024-04-11,1,thursday,0,0,None,0,None,20.2,8.9,1.3,14.6,53,0.3,96,50.5,0
2024-04-12,1,friday,0,0,None,0,None,25.1,9.8,0.0,13.6,1,0.4,87,45.8,0
2024-04-13,1,saturday,1,0,None,0,None,22.0,10.9,0.0,11.9,3,0.5,152,80.0,0
2024-04-14,1,sunday,1,0,None,0,None,22.4,12.4,0.0,12.1,0,0.2,106,55.8,0
2024-04-15,1,monday,0,0,None,0,None,22.2,11.8,0.1,34.0,51,0.1,59,31.1,0
2024-04-16,1,tuesday,0,0,None,0,None,16.0,11.9,0.0,47.7,3,0.1,83,43.7,0
2024-04-17,1,wednesday,0,0,None,0,None,15.1,9.1,0.0,42.9,0,0.2,86,45.3,0
2024-04-18,1,thursday,0,0,None,0,None,13.6,8.1,0.0,45.8,3,0.3,84,44.2,0
2024-04-19,1,friday,0,0,None,0,None,18.0,5.4,0.0,34.0,0,0.4,108,56.8,0
