date,restaurant_id,day_of_week,is_weekend,is_holiday,holiday_name,is_school_vacations,vacation_name,tmax,tmin,prcp,wspd,weather_code,sip,affluence,occupancy_rate,is_full
2024-01-01,1,monday,0,0,None,0,None,9.7,5.4,3.1,34.9,55,0.1,23,51.1,0
2024-01-02,1,tuesday,0,0,None,0,None,11.9,9.6,12.6,39.7,61,0.1,30,66.7,0
2024-01-03,1,wednesday,0,0,None,0,None,11.2,8.4,5.3,36.0,61,0.2,35,77.8,0
2024-01-04,1,thursday,0,0,None,0,None,10.3,6.2,0.8,32.0,51,0.3,35,77.8,0
2024-01-05,1,friday,0,0,None,0,None,8.7,3.5,0.4,27.8,51,0.4,45,100.0,1
2024-01-06,1,saturday,1,0,None,0,None,6.9,2.8,0.4,20.3,51,0.5,40,88.9,0
2024-01-07,1,sunday,1,0,None,0,None,4.7,0.6,0.0,21.7,3,0.305,34,75.6,0
2024-01-08,1,monday,0,0,None,0,None,-0.6,-4.2,0.4,22.5,73,0.1,22,48.9,0
2024-01-09,1,tuesday,0,0,None,0,None,-1.8,-3.1,1.2,16.9,73,0.1,28,62.2,0
2024-01-10,1,wednesday,0,0,None,0,None,-0.2,-4.3,0.0,13.0,3,0.2,24,53.3,0
2024-01-11,1,thursday,0,0,None,0,None,1.9,-3.1,0.0,17.0,3,0.3,26,57.8,0
2024-01-12,1,friday,0,0,None,0,None,3.4,-1.1,0.0,16.1,3,0.505,35,77.8,0
2024-01-13,1,saturday,1,0,None,0,None,-0.3,-2.8,0.0,8.9,3,0.5,38,84.4,0
2024-01-14,1,sunday,1,0,None,0,None,0.0,-3.1,0.0,11.6,3,0.2,36,80.0,0
2024-01-15,1,monday,0,0,None,0,None,4.2,-3.8,0.5,17.1,71,0.20500000000000002,19,42.2,0
2024-01-16,1,tuesday,0,0,None,0,None,2.8,-4.8,0.0,11.0,3,0.1,23,51.1,0
2024-01-17,1,wednesday,0,0,None,0,None,3.3,-1.6,32.6,14.2,63,0.2,26,57.8,0
2024-01-18,1,thursday,0,0,None,0,None,2.5,-3.7,6.1,20.4,75,0.3,24,53.3,0
2024-01-19,1,friday,0,0,None,0,None,3.3,-5.1,0.0,8.4,2,0.4,42,93.3,0
2024-01-20,1,saturday,1,0,None,0,None,1.8,-5.6,0.0,13.2,3,0.5,32,71.1,0
2024-01-21,1,sunday,1,0,None,0,None,8.2,-1.2,0.1,39.8,51,0.2,30,66.7,0
2024-01-22,1,monday,0,0,None,0,None,11.4,7.5,3.7,44.3,53,0.20500000000000002,19,42.2,0
2024-01-23,1,tuesday,0,0,None,0,None,12.7,5.7,0.4,28.7,51,0.1,30,66.7,0
2024-01-24,1,wednesday,0,0,None,0,None,12.9,9.4,0.4,32.2,51,0.2,30,66.7,0
2024-01-25,1,thursday,0,0,None,0,None,11.9,9.1,1.2,17.8,53,0.3,34,75.6,0
2024-01-26,1,friday,0,0,None,0,None,11.6,0.3,0.5,26.1,51,0.4,31,68.9,0
2024-01-27,1,saturday,1,0,None,0,None,6.9,-1.4,0.0,10.7,3,0.5,31,68.9,0
2024-01-28,1,sunday,1,0,None,0,None,9.6,0.4,0.0,12.2,3,0.2,34,75.6,0
2024-01-29,1,monday,0,0,None,0,None,12.2,5.8,0.0,16.1,3,0.1,22,48.9,0
2024-01-30,1,tuesday,0,0,None,0,None,11.1,6.2,0.0,17.9,3,0.1,21,46.7,0
2024-01-31,1,wednesday,0,0,None,0,None,10.1,2.7,0.0,17.6,3,0.2,30,66.7,0
2024-02-01,1,thursday,0,0,None,0,None,11.1,4.3,1.9,19.4,51,0.3,26,57.8,0
2024-02-02,1,friday,0,0,None,0,None,8.6,2.6,0.0,16.1,3,0.505,42,93.3,0
2024-02-03,1,saturday,1,0,None,0,None,10.9,8.4,0.0,19.8,3,0.5,41,91.1,0
2024-02-04,1,sunday,1,0,None,0,None,11.3,8.4,0.0,21.8,3,0.2,33,73.3,0
2024-02-05,1,monday,0,0,None,0,None,9.1,5.4,0.0,20.8,3,0.1,20,44.4,0
2024-02-06,1,tuesday,0,0,None,0,None,12.0,7.2,0.0,32.8,3,0.1,22,48.9,0
2024-02-07,1,wednesday,0,0,None,0,None,12.6,10.2,4.7,31.2,55,0.2,23,51.1,0
2024-02-08,1,thursday,0,0,None,0,None,14.0,10.2,5.7,31.7,53,0.3,25,55.6,0
2024-02-09,1,friday,0,0,None,0,None,13.4,8.9,2.3,30.5,53,0.4,39,86.7,0
2024-02-10,1,saturday,1,0,None,0,None,9.7,6.1,6.4,20.7,61,0.5,35,77.8,0
2024-02-11,1,sunday,1,0,None,0,None,9.9,5.7,1.4,28.8,53,0.2,32,71.1,0
2024-02-12,1,monday,0,0,None,0,None,10.4,3.0,0.8,14.9,53,0.1,21,46.7,0
2024-02-13,1,tuesday,0,0,None,0,None,10.3,2.2,0.9,22.4,53,0.1,25,55.6,0
2024-02-14,1,wednesday,0,0,None,0,None,14.7,9.6,0.8,24.1,51,0.35,23,51.1,0
2024-02-15,1,thursday,0,0,None,0,None,17.0,9.4,1.0,15.9,53,0.3,23,51.1,0
2024-02-16,1,friday,0,0,None,0,None,14.1,7.1,8.2,27.7,63,0.4,34,75.6,0
